FinanceKey,OrganizationKey,DepartmentKey,ScenarioKey,AccountKey,Amount,Date
47,3,1,Actual,96,12,1 Jan 2028
48,3,2,Actual,12,23197,1 Jan 2028
49,3,6,Actual,52,3059,1 Jan 2028
50,3,6,Budget,52,3200,1 Jan 2028
51,3,6,Budget,53,2600,1 Jan 2028
52,3,6,Actual,53,2294,1 Jan 2028
53,3,6,Actual,56,33968,1 Jan 2028
54,3,6,Budget,56,27200,1 Jan 2028
55,3,6,Budget,57,3800,1 Jan 2028
56,3,6,Actual,57,3186,1 Jan 2028
57,3,6,Actual,60,16320,1 Jan 2028
58,3,6,Budget,60,14300,1 Jan 2028
59,3,6,Budget,61,1600,1 Jan 2028
60,3,6,Actual,61,1632,1 Jan 2028
61,3,6,Actual,62,979,1 Jan 2028
62,3,6,Budget,62,1100,1 Jan 2028
63,3,6,Budget,63,2400,1 Jan 2028
64,3,6,Actual,63,1912,1 Jan 2028
65,3,6,Actual,65,220,1 Jan 2028
66,3,6,Budget,65,280,1 Jan 2028
67,3,6,Budget,66,200,1 Jan 2028
68,3,6,Actual,66,200,1 Jan 2028
69,3,6,Actual,67,104,1 Jan 2028
70,3,6,Budget,67,100,1 Jan 2028
71,3,6,Budget,68,100,1 Jan 2028
72,3,6,Actual,68,76,1 Jan 2028
73,3,6,Actual,69,22,1 Jan 2028
74,3,6,Actual,71,32,1 Jan 2028
75,3,6,Budget,71,50,1 Jan 2028
76,3,6,Budget,72,200,1 Jan 2028
77,3,6,Actual,72,153,1 Jan 2028
78,3,6,Actual,73,151,1 Jan 2028
79,3,6,Budget,73,220,1 Jan 2028
80,3,6,Budget,74,100,1 Jan 2028
81,3,6,Actual,74,96,1 Jan 2028
82,3,6,Actual,76,486,1 Jan 2028
83,3,6,Budget,76,750,1 Jan 2028
84,3,6,Budget,77,380,1 Jan 2028
85,3,6,Actual,77,346,1 Jan 2028
86,3,6,Actual,78,113,1 Jan 2028
87,3,6,Budget,78,100,1 Jan 2028
88,3,6,Budget,80,380,1 Jan 2028
89,3,6,Actual,80,449,1 Jan 2028
90,3,6,Actual,81,278,1 Jan 2028
91,3,6,Budget,81,280,1 Jan 2028
92,3,6,Budget,82,30,1 Jan 2028
93,3,6,Actual,82,29,1 Jan 2028
94,3,6,Actual,83,102,1 Jan 2028
95,3,6,Budget,83,90,1 Jan 2028
96,3,6,Budget,84,80,1 Jan 2028
97,3,6,Actual,84,92,1 Jan 2028
98,3,6,Actual,85,82,1 Jan 2028
99,3,6,Budget,85,80,1 Jan 2028
100,3,6,Budget,87,380,1 Jan 2028
101,3,6,Actual,87,360,1 Jan 2028
102,3,6,Actual,89,179,1 Jan 2028
103,3,6,Actual,90,276,1 Jan 2028
104,3,6,Actual,91,-221,1 Jan 2028
105,3,6,Actual,92,368,1 Jan 2028
106,3,6,Actual,94,3642,1 Jan 2028
107,3,6,Actual,96,8,1 Jan 2028
108,3,6,Actual,97,98,1 Jan 2028
109,3,6,Actual,99,45000,1 Jan 2028
110,3,6,Actual,101,76475,1 Jan 2028
111,3,6,Budget,101,91800,1 Jan 2028
112,3,7,Actual,4,76978,1 Jan 2028
113,3,7,Actual,6,124391,1 Jan 2028
114,3,7,Actual,7,3556,1 Jan 2028
115,3,7,Actual,8,2487,1 Jan 2028
116,3,7,Actual,13,19218,1 Jan 2028
117,3,7,Actual,14,12687,1 Jan 2028
118,3,7,Actual,15,23136,1 Jan 2028
119,3,7,Actual,18,13720,1 Jan 2028
120,3,7,Actual,19,43720,1 Jan 2028
121,3,7,Actual,20,13445,1 Jan 2028
122,3,7,Actual,21,59754,1 Jan 2028
123,3,7,Actual,22,11887,1 Jan 2028
124,3,7,Actual,23,4908,1 Jan 2028
125,3,7,Actual,24,23894,1 Jan 2028
126,3,7,Actual,28,20246,1 Jan 2028
127,3,7,Actual,29,175368,1 Jan 2028
128,3,7,Actual,31,55708,1 Jan 2028
129,3,7,Actual,32,29228,1 Jan 2028
130,3,7,Actual,33,28238,1 Jan 2028
131,3,7,Actual,34,9316,1 Jan 2028
132,3,7,Actual,35,42697,1 Jan 2028
133,3,7,Actual,37,33491,1 Jan 2028
134,3,7,Actual,38,36417,1 Jan 2028
135,3,7,Actual,39,55708,1 Jan 2028
136,3,7,Actual,40,29546,1 Jan 2028
137,3,7,Actual,42,350000,1 Jan 2028
138,3,7,Actual,43,-830343.5,1 Jan 2028
139,3,7,Actual,45,423790.5,1 Jan 2028
140,3,7,Actual,46,-25508,1 Jan 2028
141,3,7,Actual,60,5520,1 Jan 2028
142,3,7,Budget,60,5000,1 Jan 2028
143,3,7,Budget,61,480,1 Jan 2028
144,3,7,Actual,61,497,1 Jan 2028
145,3,7,Actual,62,331,1 Jan 2028
146,3,7,Budget,62,380,1 Jan 2028
147,3,7,Budget,65,90,1 Jan 2028
148,3,7,Actual,65,81,1 Jan 2028
149,3,7,Actual,66,74,1 Jan 2028
150,3,7,Budget,66,80,1 Jan 2028
151,3,7,Budget,67,40,1 Jan 2028
152,3,7,Actual,67,38,1 Jan 2028
153,3,7,Actual,68,29,1 Jan 2028
154,3,7,Budget,68,30,1 Jan 2028
155,3,7,Actual,69,8,1 Jan 2028
156,3,7,Actual,71,9,1 Jan 2028
157,3,7,Budget,71,30,1 Jan 2028
158,3,7,Budget,73,80,1 Jan 2028
159,3,7,Actual,73,57,1 Jan 2028
160,3,7,Actual,74,86,1 Jan 2028
161,3,7,Budget,74,100,1 Jan 2028
162,3,7,Budget,76,60,1 Jan 2028
163,3,7,Actual,76,71,1 Jan 2028
164,3,7,Actual,77,128,1 Jan 2028
165,3,7,Budget,77,100,1 Jan 2028
166,3,7,Budget,78,40,1 Jan 2028
167,3,7,Actual,78,39,1 Jan 2028
168,3,7,Actual,80,143,1 Jan 2028
169,3,7,Budget,80,100,1 Jan 2028
170,3,7,Budget,81,90,1 Jan 2028
171,3,7,Actual,81,89,1 Jan 2028
172,3,7,Actual,82,9,1 Jan 2028
173,3,7,Budget,82,10,1 Jan 2028
174,3,7,Budget,83,30,1 Jan 2028
175,3,7,Actual,83,30,1 Jan 2028
176,3,7,Actual,84,25,1 Jan 2028
177,3,7,Budget,84,30,1 Jan 2028
178,3,7,Budget,85,20,1 Jan 2028
179,3,7,Actual,85,24,1 Jan 2028
180,3,7,Actual,87,135,1 Jan 2028
181,3,7,Budget,87,100,1 Jan 2028
182,3,7,Actual,89,48,1 Jan 2028
183,3,7,Actual,90,73,1 Jan 2028
184,3,7,Actual,91,-58,1 Jan 2028
185,3,7,Actual,92,98,1 Jan 2028
186,3,7,Actual,94,52,1 Jan 2028
187,3,7,Actual,96,3,1 Jan 2028
188,3,7,Actual,100,23076,1 Jan 2028
189,4,1,Actual,60,43120,1 Jan 2028
190,4,1,Budget,60,40900,1 Jan 2028
191,4,1,Budget,61,4000,1 Jan 2028
192,4,1,Actual,61,5174,1 Jan 2028
193,4,1,Actual,62,3449,1 Jan 2028
194,4,1,Budget,62,3600,1 Jan 2028
195,4,1,Budget,65,850,1 Jan 2028
196,4,1,Actual,65,770,1 Jan 2028
197,4,1,Actual,66,700,1 Jan 2028
198,4,1,Budget,66,750,1 Jan 2028
199,4,1,Budget,67,380,1 Jan 2028
200,4,1,Actual,67,352,1 Jan 2028
201,4,1,Actual,68,264,1 Jan 2028
202,4,1,Budget,68,280,1 Jan 2028
203,4,1,Actual,69,77,1 Jan 2028
204,4,1,Actual,71,99,1 Jan 2028
205,4,1,Budget,71,110,1 Jan 2028
206,4,1,Budget,73,500,1 Jan 2028
207,4,1,Actual,73,486,1 Jan 2028
208,4,1,Actual,74,240,1 Jan 2028
209,4,1,Budget,74,280,1 Jan 2028
210,4,1,Budget,76,550,1 Jan 2028
211,4,1,Actual,76,561,1 Jan 2028
212,4,1,Actual,77,1009,1 Jan 2028
213,4,1,Budget,77,950,1 Jan 2028
214,4,1,Budget,78,280,1 Jan 2028
215,4,1,Actual,78,277,1 Jan 2028
216,4,1,Actual,80,1051,1 Jan 2028
217,4,1,Budget,80,1000,1 Jan 2028
218,4,1,Budget,81,650,1 Jan 2028
219,4,1,Actual,81,650,1 Jan 2028
220,4,1,Actual,82,62,1 Jan 2028
221,4,1,Budget,82,70,1 Jan 2028
222,4,1,Budget,83,200,1 Jan 2028
223,4,1,Actual,83,217,1 Jan 2028
224,4,1,Actual,84,180,1 Jan 2028
225,4,1,Budget,84,200,1 Jan 2028
226,4,1,Budget,85,200,1 Jan 2028
227,4,1,Actual,85,174,1 Jan 2028
228,4,1,Actual,87,990,1 Jan 2028
229,4,1,Budget,87,850,1 Jan 2028
230,4,1,Actual,89,176,1 Jan 2028
231,4,1,Actual,90,270,1 Jan 2028
232,4,1,Actual,91,-216,1 Jan 2028
233,4,1,Actual,92,360,1 Jan 2028
234,4,1,Actual,94,96,1 Jan 2028
235,4,1,Actual,96,11,1 Jan 2028
236,4,2,Actual,12,34545,1 Jan 2028
237,4,6,Actual,52,4505,1 Jan 2028
238,4,6,Budget,52,3900,1 Jan 2028
239,4,6,Budget,53,-1600,1 Jan 2028
240,4,6,Actual,53,-1126,1 Jan 2028
241,4,6,Actual,56,42417,1 Jan 2028
242,4,6,Budget,56,55000,1 Jan 2028
243,4,6,Budget,57,1500,1 Jan 2028
244,4,6,Actual,57,938,1 Jan 2028
245,4,6,Actual,60,26040,1 Jan 2028
246,4,6,Budget,60,22700,1 Jan 2028
247,4,6,Budget,61,2000,1 Jan 2028
248,4,6,Actual,61,2083,1 Jan 2028
249,4,6,Actual,62,1562,1 Jan 2028
250,4,6,Budget,62,1600,1 Jan 2028
251,4,6,Budget,63,6200,1 Jan 2028
252,4,6,Actual,63,3379,1 Jan 2028
253,4,6,Actual,65,378,1 Jan 2028
254,4,6,Budget,65,380,1 Jan 2028
255,4,6,Budget,66,380,1 Jan 2028
256,4,6,Actual,66,343,1 Jan 2028
257,4,6,Actual,67,182,1 Jan 2028
258,4,6,Budget,67,200,1 Jan 2028
259,4,6,Budget,68,100,1 Jan 2028
260,4,6,Actual,68,133,1 Jan 2028
261,4,6,Actual,69,38,1 Jan 2028
262,4,6,Actual,71,63,1 Jan 2028
263,4,6,Budget,71,70,1 Jan 2028
264,4,6,Budget,72,380,1 Jan 2028
265,4,6,Actual,72,225,1 Jan 2028
266,4,6,Actual,73,263,1 Jan 2028
267,4,6,Budget,73,300,1 Jan 2028
268,4,6,Budget,74,200,1 Jan 2028
269,4,6,Actual,74,187,1 Jan 2028
270,4,6,Actual,76,1201,1 Jan 2028
271,4,6,Budget,76,1500,1 Jan 2028
272,4,6,Budget,77,550,1 Jan 2028
273,4,6,Actual,77,604,1 Jan 2028
274,4,6,Actual,78,193,1 Jan 2028
275,4,6,Budget,78,200,1 Jan 2028
276,4,6,Budget,80,650,1 Jan 2028
277,4,6,Actual,80,749,1 Jan 2028
278,4,6,Actual,81,464,1 Jan 2028
279,4,6,Budget,81,380,1 Jan 2028
280,4,6,Budget,82,50,1 Jan 2028
281,4,6,Actual,82,47,1 Jan 2028
282,4,6,Actual,83,165,1 Jan 2028
283,4,6,Budget,83,100,1 Jan 2028
284,4,6,Budget,84,100,1 Jan 2028
285,4,6,Actual,84,145,1 Jan 2028
286,4,6,Actual,85,132,1 Jan 2028
287,4,6,Budget,85,100,1 Jan 2028
288,4,6,Budget,87,550,1 Jan 2028
289,4,6,Actual,87,630,1 Jan 2028
290,4,6,Actual,89,142,1 Jan 2028
291,4,6,Actual,90,218,1 Jan 2028
292,4,6,Actual,91,-174,1 Jan 2028
293,4,6,Actual,92,291,1 Jan 2028
294,4,6,Actual,94,3303,1 Jan 2028
295,4,6,Actual,96,7,1 Jan 2028
296,4,6,Actual,97,95,1 Jan 2028
297,4,6,Actual,99,63000,1 Jan 2028
298,4,6,Budget,101,123900,1 Jan 2028
299,4,6,Actual,101,112648,1 Jan 2028
300,4,7,Actual,4,138120,1 Jan 2028
301,4,7,Actual,6,172658,1 Jan 2028
302,4,7,Actual,7,5181,1 Jan 2028
303,4,7,Actual,8,3453,1 Jan 2028
304,4,7,Actual,13,23826,1 Jan 2028
305,4,7,Actual,14,16229,1 Jan 2028
306,4,7,Actual,15,31769,1 Jan 2028
307,4,7,Actual,18,10976,1 Jan 2028
308,4,7,Actual,19,34976,1 Jan 2028
309,4,7,Actual,20,10646,1 Jan 2028
310,4,7,Actual,21,48713,1 Jan 2028
311,4,7,Actual,22,9416,1 Jan 2028
312,4,7,Actual,23,3849,1 Jan 2028
313,4,7,Actual,24,20310,1 Jan 2028
314,4,7,Actual,28,16196,1 Jan 2028
315,4,7,Actual,29,149442,1 Jan 2028
316,4,7,Actual,31,46294,1 Jan 2028
317,4,7,Actual,32,25924,1 Jan 2028
318,4,7,Actual,33,21738,1 Jan 2028
319,4,7,Actual,34,12448,1 Jan 2028
320,4,7,Actual,35,32590,1 Jan 2028
321,4,7,Actual,37,25665,1 Jan 2028
322,4,7,Actual,38,26166,1 Jan 2028
323,4,7,Actual,39,45395,1 Jan 2028
324,4,7,Actual,40,23636,1 Jan 2028
325,4,7,Actual,42,350000,1 Jan 2028
326,4,7,Actual,43,-491124,1 Jan 2028
327,4,7,Actual,45,291070,1 Jan 2028
328,4,7,Actual,46,-27492,1 Jan 2028
329,4,7,Actual,100,16719,1 Jan 2028
330,5,1,Actual,60,33920,1 Jan 2028
331,5,1,Budget,60,31600,1 Jan 2028
332,5,1,Budget,61,2700,1 Jan 2028
333,5,1,Actual,61,3731,1 Jan 2028
334,5,1,Actual,62,2035,1 Jan 2028
335,5,1,Budget,62,1900,1 Jan 2028
336,5,1,Budget,65,480,1 Jan 2028
337,5,1,Actual,65,440,1 Jan 2028
338,5,1,Actual,66,400,1 Jan 2028
339,5,1,Budget,66,380,1 Jan 2028
340,5,1,Budget,67,200,1 Jan 2028
341,5,1,Actual,67,208,1 Jan 2028
342,5,1,Actual,68,152,1 Jan 2028
343,5,1,Budget,68,200,1 Jan 2028
344,5,1,Actual,69,44,1 Jan 2028
345,5,1,Actual,71,64,1 Jan 2028
346,5,1,Budget,71,90,1 Jan 2028
347,5,1,Budget,73,300,1 Jan 2028
348,5,1,Actual,73,301,1 Jan 2028
349,5,1,Actual,74,192,1 Jan 2028
350,5,1,Budget,74,200,1 Jan 2028
351,5,1,Budget,76,380,1 Jan 2028
352,5,1,Actual,76,384,1 Jan 2028
353,5,1,Actual,77,691,1 Jan 2028
354,5,1,Budget,77,650,1 Jan 2028
355,5,1,Budget,78,200,1 Jan 2028
356,5,1,Actual,78,210,1 Jan 2028
357,5,1,Actual,80,806,1 Jan 2028
358,5,1,Budget,80,850,1 Jan 2028
359,5,1,Budget,81,550,1 Jan 2028
360,5,1,Actual,81,499,1 Jan 2028
361,5,1,Actual,82,49,1 Jan 2028
362,5,1,Budget,82,60,1 Jan 2028
363,5,1,Budget,83,200,1 Jan 2028
364,5,1,Actual,83,172,1 Jan 2028
365,5,1,Actual,84,147,1 Jan 2028
366,5,1,Budget,84,200,1 Jan 2028
367,5,1,Budget,85,200,1 Jan 2028
368,5,1,Actual,85,138,1 Jan 2028
369,5,1,Actual,87,720,1 Jan 2028
370,5,1,Budget,87,750,1 Jan 2028
371,5,1,Actual,89,144,1 Jan 2028
372,5,1,Actual,90,220,1 Jan 2028
373,5,1,Actual,91,-176,1 Jan 2028
374,5,1,Actual,92,294,1 Jan 2028
375,5,1,Actual,94,219,1 Jan 2028
376,5,1,Actual,96,8,1 Jan 2028
377,5,2,Actual,12,17392,1 Jan 2028
378,5,6,Actual,52,1683,1 Jan 2028
379,5,6,Budget,52,2200,1 Jan 2028
380,5,6,Budget,53,-250,1 Jan 2028
381,5,6,Actual,53,-561,1 Jan 2028
382,5,6,Actual,56,21575,1 Jan 2028
383,5,6,Budget,56,22700,1 Jan 2028
384,5,6,Budget,57,500,1 Jan 2028
385,5,6,Actual,57,467,1 Jan 2028
386,5,6,Actual,60,25480,1 Jan 2028
387,5,6,Budget,60,26400,1 Jan 2028
388,5,6,Budget,61,2600,1 Jan 2028
389,5,6,Actual,61,2038,1 Jan 2028
390,5,6,Actual,62,2293,1 Jan 2028
391,5,6,Budget,62,1800,1 Jan 2028
392,5,6,Budget,63,8700,1 Jan 2028
393,5,6,Actual,63,2244,1 Jan 2028
394,5,6,Actual,65,553,1 Jan 2028
395,5,6,Budget,65,380,1 Jan 2028
396,5,6,Budget,66,380,1 Jan 2028
397,5,6,Actual,66,503,1 Jan 2028
398,5,6,Actual,67,252,1 Jan 2028
399,5,6,Budget,67,200,1 Jan 2028
400,5,6,Budget,68,200,1 Jan 2028
401,5,6,Actual,68,189,1 Jan 2028
402,5,6,Actual,69,55,1 Jan 2028
403,5,6,Actual,71,49,1 Jan 2028
404,5,6,Budget,71,70,1 Jan 2028
405,5,6,Budget,72,280,1 Jan 2028
406,5,6,Actual,72,168,1 Jan 2028
407,5,6,Actual,73,336,1 Jan 2028
408,5,6,Budget,73,300,1 Jan 2028
409,5,6,Budget,74,200,1 Jan 2028
410,5,6,Actual,74,248,1 Jan 2028
411,5,6,Actual,76,846,1 Jan 2028
412,5,6,Budget,76,1700,1 Jan 2028
413,5,6,Budget,77,550,1 Jan 2028
414,5,6,Actual,77,667,1 Jan 2028
415,5,6,Actual,78,178,1 Jan 2028
416,5,6,Budget,78,200,1 Jan 2028
417,5,6,Budget,80,650,1 Jan 2028
418,5,6,Actual,80,668,1 Jan 2028
419,5,6,Actual,81,414,1 Jan 2028
420,5,6,Budget,81,480,1 Jan 2028
421,5,6,Budget,82,40,1 Jan 2028
422,5,6,Actual,82,40,1 Jan 2028
423,5,6,Actual,83,140,1 Jan 2028
424,5,6,Budget,83,200,1 Jan 2028
425,5,6,Budget,84,100,1 Jan 2028
426,5,6,Actual,84,116,1 Jan 2028
427,5,6,Actual,85,112,1 Jan 2028
428,5,6,Budget,85,100,1 Jan 2028
429,5,6,Budget,87,550,1 Jan 2028
430,5,6,Actual,87,630,1 Jan 2028
431,5,6,Actual,89,113,1 Jan 2028
432,5,6,Actual,90,174,1 Jan 2028
433,5,6,Actual,91,-139,1 Jan 2028
434,5,6,Actual,92,232,1 Jan 2028
435,5,6,Actual,94,4254,1 Jan 2028
436,5,6,Actual,96,7,1 Jan 2028
437,5,6,Actual,97,95,1 Jan 2028
438,5,6,Actual,99,38500,1 Jan 2028
439,5,6,Budget,101,53300,1 Jan 2028
440,5,6,Actual,101,56105,1 Jan 2028
441,5,7,Actual,4,64261,1 Jan 2028
442,5,7,Actual,6,95647,1 Jan 2028
443,5,7,Actual,7,2552,1 Jan 2028
444,5,7,Actual,8,1912,1 Jan 2028
445,5,7,Actual,13,15064,1 Jan 2028
446,5,7,Actual,14,10425,1 Jan 2028
447,5,7,Actual,15,17407,1 Jan 2028
448,5,7,Actual,18,8232,1 Jan 2028
449,5,7,Actual,19,26232,1 Jan 2028
450,5,7,Actual,20,7738,1 Jan 2028
451,5,7,Actual,21,43030,1 Jan 2028
452,5,7,Actual,22,7062,1 Jan 2028
453,5,7,Actual,23,2886,1 Jan 2028
454,5,7,Actual,24,15979,1 Jan 2028
455,5,7,Actual,28,13062,1 Jan 2028
456,5,7,Actual,29,114372,1 Jan 2028
457,5,7,Actual,31,34833,1 Jan 2028
458,5,7,Actual,32,17346,1 Jan 2028
459,5,7,Actual,33,16943,1 Jan 2028
460,5,7,Actual,34,6427,1 Jan 2028
461,5,7,Actual,35,23503,1 Jan 2028
462,5,7,Actual,37,19883,1 Jan 2028
463,5,7,Actual,38,20232,1 Jan 2028
464,5,7,Actual,39,35207,1 Jan 2028
465,5,7,Actual,40,19062,1 Jan 2028
466,5,7,Actual,42,350000,1 Jan 2028
467,5,7,Actual,43,-657203.8,1 Jan 2028
468,5,7,Actual,45,359790.8,1 Jan 2028
469,5,7,Actual,46,-51614,1 Jan 2028
470,5,7,Actual,100,13976,1 Jan 2028
471,6,1,Actual,60,20800,1 Jan 2028
472,6,1,Budget,60,19800,1 Jan 2028
473,6,1,Budget,61,1800,1 Jan 2028
474,6,1,Actual,61,2080,1 Jan 2028
475,6,1,Actual,62,1040,1 Jan 2028
476,6,1,Budget,62,1200,1 Jan 2028
477,6,1,Budget,65,280,1 Jan 2028
478,6,1,Actual,65,218,1 Jan 2028
479,6,1,Actual,66,198,1 Jan 2028
480,6,1,Budget,66,280,1 Jan 2028
481,6,1,Budget,67,100,1 Jan 2028
482,6,1,Actual,67,109,1 Jan 2028
483,6,1,Actual,68,78,1 Jan 2028
484,6,1,Budget,68,100,1 Jan 2028
485,6,1,Actual,69,22,1 Jan 2028
486,6,1,Actual,71,31,1 Jan 2028
487,6,1,Budget,71,60,1 Jan 2028
488,6,1,Budget,73,220,1 Jan 2028
489,6,1,Actual,73,169,1 Jan 2028
490,6,1,Actual,74,105,1 Jan 2028
491,6,1,Budget,74,100,1 Jan 2028
492,6,1,Budget,76,200,1 Jan 2028
493,6,1,Actual,76,237,1 Jan 2028
494,6,1,Actual,77,426,1 Jan 2028
495,6,1,Budget,77,380,1 Jan 2028
496,6,1,Budget,78,100,1 Jan 2028
497,6,1,Actual,78,147,1 Jan 2028
498,6,1,Actual,80,584,1 Jan 2028
499,6,1,Budget,80,550,1 Jan 2028
500,6,1,Budget,81,280,1 Jan 2028
501,6,1,Actual,81,361,1 Jan 2028
502,6,1,Actual,82,38,1 Jan 2028
503,6,1,Budget,82,30,1 Jan 2028
504,6,1,Budget,83,100,1 Jan 2028
505,6,1,Actual,83,133,1 Jan 2028
506,6,1,Actual,84,118,1 Jan 2028
507,6,1,Budget,84,100,1 Jan 2028
508,6,1,Budget,85,90,1 Jan 2028
509,6,1,Actual,85,106,1 Jan 2028
510,6,1,Actual,87,468,1 Jan 2028
511,6,1,Budget,87,480,1 Jan 2028
512,6,1,Actual,89,177,1 Jan 2028
513,6,1,Actual,90,273,1 Jan 2028
514,6,1,Actual,91,-218,1 Jan 2028
515,6,1,Actual,92,364,1 Jan 2028
516,6,1,Actual,94,82,1 Jan 2028
517,6,1,Actual,96,8,1 Jan 2028
518,6,2,Actual,12,38012,1 Jan 2028
519,6,2,Actual,60,7800,1 Jan 2028
520,6,2,Budget,60,6600,1 Jan 2028
521,6,2,Budget,61,550,1 Jan 2028
522,6,2,Actual,61,624,1 Jan 2028
523,6,2,Actual,62,780,1 Jan 2028
524,6,2,Budget,62,480,1 Jan 2028
525,6,2,Budget,65,100,1 Jan 2028
526,6,2,Actual,65,164,1 Jan 2028
527,6,2,Actual,66,149,1 Jan 2028
528,6,2,Budget,66,100,1 Jan 2028
529,6,2,Budget,67,60,1 Jan 2028
530,6,2,Actual,67,74,1 Jan 2028
531,6,2,Actual,68,55,1 Jan 2028
532,6,2,Budget,68,40,1 Jan 2028
533,6,2,Actual,69,16,1 Jan 2028
534,6,2,Actual,71,16,1 Jan 2028
535,6,2,Budget,71,30,1 Jan 2028
536,6,2,Budget,73,100,1 Jan 2028
537,6,2,Actual,73,96,1 Jan 2028
538,6,2,Actual,74,160,1 Jan 2028
539,6,2,Budget,74,100,1 Jan 2028
540,6,2,Budget,76,90,1 Jan 2028
541,6,2,Actual,76,105,1 Jan 2028
542,6,2,Actual,77,189,1 Jan 2028
543,6,2,Budget,77,200,1 Jan 2028
544,6,2,Budget,78,50,1 Jan 2028
545,6,2,Actual,78,61,1 Jan 2028
546,6,2,Actual,80,209,1 Jan 2028
547,6,2,Budget,80,200,1 Jan 2028
548,6,2,Budget,81,100,1 Jan 2028
549,6,2,Actual,81,129,1 Jan 2028
550,6,2,Actual,82,13,1 Jan 2028
551,6,2,Budget,82,10,1 Jan 2028
552,6,2,Budget,83,40,1 Jan 2028
553,6,2,Actual,83,46,1 Jan 2028
554,6,2,Actual,84,40,1 Jan 2028
555,6,2,Budget,84,30,1 Jan 2028
556,6,2,Budget,85,30,1 Jan 2028
557,6,2,Actual,85,36,1 Jan 2028
558,6,2,Actual,87,176,1 Jan 2028
559,6,2,Budget,87,200,1 Jan 2028
560,6,2,Actual,89,60,1 Jan 2028
561,6,2,Actual,90,93,1 Jan 2028
562,6,2,Actual,91,-74,1 Jan 2028
563,6,2,Actual,92,124,1 Jan 2028
564,6,2,Actual,94,29,1 Jan 2028
565,6,2,Actual,96,3,1 Jan 2028
566,6,3,Actual,10,308472,1 Jan 2028
567,6,3,Actual,11,176270,1 Jan 2028
568,6,3,Actual,60,22698,1 Jan 2028
569,6,3,Budget,60,23000,1 Jan 2028
570,6,3,Budget,61,2300,1 Jan 2028
571,6,3,Actual,61,2497,1 Jan 2028
572,6,3,Actual,62,2042,1 Jan 2028
573,6,3,Budget,62,1700,1 Jan 2028
574,6,3,Budget,65,380,1 Jan 2028
575,6,3,Actual,65,468,1 Jan 2028
576,6,3,Actual,66,426,1 Jan 2028
577,6,3,Budget,66,380,1 Jan 2028
578,6,3,Budget,67,200,1 Jan 2028
579,6,3,Actual,67,211,1 Jan 2028
580,6,3,Actual,68,158,1 Jan 2028
581,6,3,Budget,68,200,1 Jan 2028
582,6,3,Actual,69,47,1 Jan 2028
583,6,3,Actual,71,35,1 Jan 2028
584,6,3,Budget,71,70,1 Jan 2028
585,6,3,Budget,73,300,1 Jan 2028
586,6,3,Actual,73,281,1 Jan 2028
587,6,3,Actual,74,167,1 Jan 2028
588,6,3,Budget,74,100,1 Jan 2028
589,6,3,Budget,76,280,1 Jan 2028
590,6,3,Actual,76,310,1 Jan 2028
591,6,3,Actual,77,558,1 Jan 2028
592,6,3,Budget,77,550,1 Jan 2028
593,6,3,Budget,78,200,1 Jan 2028
594,6,3,Actual,78,154,1 Jan 2028
595,6,3,Actual,80,602,1 Jan 2028
